educationagencyname,averagetest,income50perc,percentblacks,percentwhites,totalenrollment
ST PAUL SD 45,-1.1751,86874.52,0,0.5708,107.6667
ST ROSE SD 14-15,1.3238,77499.9,0,0.9818,109.3333
ST. ANTHONY-NEW BRIGHTON SCHOOLS,1.761,77314.73,0.0563,0.7756,772.6667
ST. BERNARD PARISH,-0.2064,36666.33,0.2788,0.5975,2426.333
ST. CHARLES COMMUNITY SCHOOLS,-0.4135,59165.75,0.011,0.9172,493.1667
ST. CHARLES PARISH,-0.0174,61377.46,0.349,0.5734,4344.167
ST. CHARLES PUBLIC SCHOOL DISTRICT,1.1354,64874.68,0.0108,0.8308,469
ST. CHARLES R-VI,0.2229,65723.3,0.1452,0.7459,2192.5
ST. CLAIR PUBLIC SCHOOL DISTRICT,0.4077,84705.49,0.0017,0.9658,283.3333
ST. CLAIR R-XIII,-0.1926,47124.57,0.0146,0.9615,984.1667
ST. CLOUD PUBLIC SCHOOL DISTRICT,0.1748,59090,0.173,0.6877,4276.667
ST. ELIZABETH R-IV,0.4235,70799.28,0,0.9813,116
ST. FRANCIS PUBLIC SCHOOL DISTRICT,0.8177,82614.64,0.0133,0.9168,2359.5
ST. HELENA PARISH,-3.2679,34624.07,0.9357,0.0553,301
ST. IGNACE AREA SCHOOLS,-0.2757,49249.15,0.015,0.3914,276.8333
ST. JAMES PARISH,-0.7222,60416.64,0.6737,0.3104,1687
ST. JAMES PUBLIC SCHOOL DISTRICT,-0.5779,52817.9,0.0062,0.5314,478.1667
ST. JAMES R-I,0.3654,49046.81,0.0262,0.9362,763.1667
ST. JOHN THE BAPTIST PARISH,-1.0343,41323.27,0.7851,0.1631,2882.333
ST. JOHNS,1.3599,82029.42,0.0749,0.8141,14339.5
ST. JOHNS PUBLIC SCHOOLS,0.2149,71320,0.009,0.8874,1393
ST. JOSEPH,-0.1056,47822.02,0.1013,0.8055,5245.667
ST. JOSEPH PUBLIC SCHOOLS,1.1115,92374.3,0.0597,0.8537,1259
ST. LANDRY PARISH,-1.1298,32904.82,0.5935,0.3869,6983.333
ST. LOUIS CITY,-2.0515,26818.4,0.8057,0.1323,15835.17
ST. LOUIS COUNTY SCHOOL DISTRICT,0.2953,60441.15,0.0089,0.8385,860.6667
ST. LOUIS PARK PUBLIC SCHOOL DIST.,1.0074,77351.39,0.1973,0.6015,1969.667
ST. LOUIS PUBLIC SCHOOLS,-0.2433,45249.95,0.0221,0.8949,515.6667
ST. LUCIE,-0.2964,45735.15,0.2909,0.399,18860.67
ST. MARTIN PARISH,-1.0304,41809.98,0.4647,0.4957,3732.333
ST. MARY PARISH,-0.6128,42231.7,0.4313,0.4815,4435.833
ST. MARY'S COUNTY PUBLIC SCHOOLS,0.9049,84334.66,0.1898,0.7037,7483.833
ST. MICHAEL-ALBERTVILLE SCHOOL DIST,1.2146,86727.93,0.025,0.9049,2774.833
ST. PAUL PUBLIC SCHOOL DISTRICT,-0.7219,42499.5,0.2794,0.2494,20294.17
ST. PETER PUBLIC SCHOOL DISTRICT,1.1536,59686.53,0.0578,0.8253,813.6667
ST. TAMMANY PARISH,0.2223,67691.04,0.1961,0.7467,16786
ST. VRAIN VALLEY SCHOOL DISTRICT NO. RE1J,0.7026,77524.9,0.0115,0.6529,12238.83
STAFFORD,0.3131,40624.88,0.0118,0.8565,98.8333
STAFFORD CO PBLC SCHS,0.6502,104724.8,0.1916,0.5875,12122
STAFFORD MSD,-0.4008,55960.94,0.4199,0.0533,1459.5
STAFFORD SCHOOL DISTRICT,0.9932,81802.05,0.0088,0.9102,704.6667
STAFFORD TOWNSHIP,1.3208,87938.08,0.0098,0.9393,1306.833
STAMFORD CENTRAL SCHOOL DISTRICT,0.2731,34427.69,0.0114,0.9417,163.1667
STAMFORD ISD,0.2291,36749.65,0.1071,0.4179,261.3333
STAMFORD SCHOOL DISTRICT,0.0203,70399.86,0.2108,0.3647,6840
STANBERRY R-II,0.3506,51499.85,0.0096,0.9841,159.1667
STANDARD ELEMENTARY,-1.6137,36531.95,0.0097,0.738,1862
STANDISH-STERLING COMMUNITY SCHOOLS,-0.5856,49806.73,0.0064,0.9657,756.8333
STANFIELD ELEMENTARY DISTRICT,-1.6768,42999.4,0.0097,0.1291,416
STANFIELD SD 61,-0.5744,40499.9,0.0054,0.5479,250
STANHOPE BOROUGH,0.5904,82954.23,0.0493,0.8187,254.6667
STANISLAUS UNION ELEMENTARY,-0.8671,51551.57,0.0603,0.306,2052.167
STANLEY 2,-0.1814,90499.38,0.0137,0.8897,237.8333
STANLEY COUNTY SCHOOL DISTRICT 57-1,-0.3635,71249.27,0.0017,0.7817,201.6667
STANLEY-BOYD AREA SCHOOL DISTRICT,0.8574,46785.36,0.0209,0.962,407
STANLY COUNTY SCHOOLS,0.1193,58749.12,0.1325,0.7434,4188.5
STANTON COMM SCHOOL DISTRICT,0.8507,58665.8,0.0015,0.9845,107.5
STANTON COMMUNITY SCHOOLS,-0.1599,51199.88,0.0068,0.9096,219
STANTON COUNTY,-0.0813,50857.06,0.0016,0.4972,219
STANTON ISD,-0.6068,39999,0.0098,0.3514,369.6667
STANTON TOWNSHIP PUBLIC SCHOOLS,-0.1054,46599.68,0,0.9878,87.5
STANWOOD-CAMANO SCHOOL DISTRICT,0.7195,83093.94,0.012,0.8678,2210.667
STAPLES-MOTLEY SCHOOL DISTRICT,0.0906,50344.79,0.012,0.9345,530.3333
STAR CITY SCHOOL DISTRICT,-0.3732,35945.76,0.2148,0.7069,768.3333
STARK COUNTY CUSD 100,0.2326,61821.31,0.0046,0.9368,332.5
STARKSBORO SCHOOL DISTRICT,0.708,59249.07,0,0.9727,91.5
STARKVILLE SCHOOL DISTRICT,-1.3066,34094.93,0.6456,0.3077,1957.333
STARMONT COMM SCHOOL DISTRICT,0.5053,57374.26,0.0023,0.9856,278
STARPOINT CENTRAL SCHOOL DISTRICT,0.9857,84759.88,0.0178,0.9578,1224.833
STATE COLLEGE AREA SD,1.8282,85583.52,0.0289,0.8433,3277.667
STAUNTON CITY PBLC SCHS,0.1042,47856.57,0.1985,0.6829,1177.333
STAUNTON CUSD 6,0.1966,63281.03,0.0026,0.9712,520.5
STE. GENEVIEVE CO. R-II,0.9196,56515.48,0.0111,0.9581,856.3333
STEAMBOAT SPRINGS SCHOOL DISTRICT NO. RE 2,2.1115,78181.69,0.0033,0.8787,1075.667
STEEL VALLEY SD,-0.5075,47016.84,0.4554,0.4738,1155.5
STEELEVILLE CUSD 138,-0.4123,54428.13,0.0027,0.9708,183.8333
STEELTON-HIGHSPIRE SD,-1.6832,32953.95,0.4977,0.2126,597.3333
STEELVILLE R-III,0.1357,41249.75,0.0026,0.9829,438.1667
STEGER SD 194,-0.9514,50185.16,0.2345,0.4706,1034.167
STEILACOOM HIST. SCHOOL DISTRICT,0.43,76543.15,0.0661,0.6658,2477.333
STEPHEN-ARGYLE CENTRAL SCHOOLS,1.0165,75312.48,0.0031,0.8775,153.6667
STEPHENS COUNTY,0.5118,43749.25,0.126,0.7768,1872.833
STEPHENS SCHOOL DISTRICT,-2.0951,45583.22,0.8419,0.1387,156.1667
STEPHENSON AREA PUBLIC SCHOOLS,0.0143,59768.25,0.0029,0.9304,309.1667
STEPHENVILLE,0.3367,54486.73,0.0121,0.6842,1595.833
STERLING,0.626,66230.35,0.025,0.9049,247.6667
STERLING,-0.7117,42499.5,0.0037,0.802,181.8333
STERLING CUSD 5,-0.0347,46517.55,0.0354,0.5907,1511.833
STERLING PUBLIC SCHOOLS,-0.1021,68999.4,0.019,0.9632,94.6667
STERLING SCHOOL DISTRICT,-0.0464,59899.01,0.0019,0.9285,260.5
STEUBENVILLE CITY,1.1143,19229.92,0.2774,0.5695,1017.167
STEVENS POINT AREA SCHOOL DISTRICT,0.8108,70150.18,0.0124,0.8468,3069.833
STEVENSON-CARSON SCHOOL DISTRICT,-0.2925,55416.13,0.0181,0.7904,465.5
STEVENSVILLE ELEM,0.5982,41428.29,0.0079,0.9143,411.3333
STEWARDSON-STRASBURG CUD 5A,0.3802,47832.77,0.0037,0.9787,160.1667
STEWART COUNTY,-1.1538,33199.36,0.9434,0.042,242
STEWART COUNTY SCHOOL DISTRICT,0.311,41770.48,0.0195,0.9505,1002
STEWARTSVILLE C-2,0.2436,70124.32,0.0187,0.967,105.1667
STEWARTVILLE PUBLIC SCHOOL DISTRICT,1.1355,70799.28,0.0126,0.947,864.1667
STIGLER,-1.0867,50999.9,0.0023,0.5751,587
STILLWATER,0.6229,59399.06,0.0571,0.725,2413.333
STILLWATER AREA PUBLIC SCHOOL DIST.,1.7202,103497.3,0.0262,0.8953,4212
STILLWATER CENTRAL SCHOOL DISTRICT,0.5293,70739.28,0.0226,0.9576,561.6667
STILLWATER TOWNSHIP,2.0328,90624.38,0.0169,0.9409,210.8333
STILWELL,-1.5684,28635.64,0.0024,0.2608,424.8333
STO-ROX SD,-1.769,17999.4,0.4965,0.385,625.5
STOCKBRIDGE COMMUNITY SCHOOLS,-0.2145,65863.25,0.0062,0.9503,727.8333
STOCKBRIDGE SCHOOL DISTRICT,0.1265,63499.77,0,0.9699,83.6667
STOCKBRIDGE VALLEY CENTRAL SCHOOL DISTRICT,0.1333,43915.88,0,0.9493,213.3333
STOCKDALE ISD,-0.1252,62131.44,0.0117,0.5184,356.3333
STOCKTON,0.3357,44249.15,0.005,0.949,126.5
STOCKTON CUSD 206,0.3394,62774.81,0.0032,0.9481,256.3333
STOCKTON R-I,0.107,43181.18,0.0056,0.9602,507.6667
STOCKTON UNIFIED,-2.2054,37499.5,0.1194,0.0863,18469.83
STOKES COUNTY SCHOOLS,0.3469,49887.91,0.0437,0.8873,3148.333
STONE BANK SCHOOL DISTRICT,1.5931,87082.85,0.0028,0.9789,233.3333
STONE CO SCHOOL DIST,-0.4371,49129.61,0.237,0.7355,1317.5
STONE CORRAL ELEMENTARY,-2.8165,33499.3,0,0.0549,84.6667
STONEHAM,1.5577,98802.24,0.0157,0.8831,1162.333
STONEWALL,-0.9087,32499.5,0.0179,0.543,178
STONINGTON SCHOOL DISTRICT,1.0144,83429.9,0.0211,0.9097,1117.167
STORM LAKE COMM SCHOOL DISTRICT,-0.7839,46710.18,0.0586,0.2329,899.3333
STOUGHTON,1.2215,74261.34,0.1675,0.723,1767.333
STOUGHTON AREA SCHOOL DISTRICT,0.9429,77705.12,0.0375,0.8981,1437.833
STOUTLAND R-II,-0.3857,34284.86,0.0023,0.9554,212.3333
STOW CREEK TOWNSHIP,-0.4086,84999.6,0.0369,0.8442,92.6667
STOW-MUNROE FALLS CITY,1.2005,87717.52,0.0322,0.907,2508.167
STOWE SCHOOL DISTRICT,1.4574,78124.88,0.01,0.9101,333
STRAFFORD R-VI,0.3069,63717.14,0.0168,0.9731,540.1667
STRAFFORD SCHOOL DISTRICT,2.4825,59999,0.0144,0.9481,312.5
STRASBURG SCHOOL DISTRICT 31J,0.3669,76171.83,0.0142,0.8589,443.8333
STRASBURG-FRANKLIN LOCAL,0.1634,68811.91,0.0006,0.9464,298.5
STRATFORD,-1.1435,41699.66,0.0117,0.6733,303.8333
STRATFORD BOROUGH,0.7265,77833.22,0.1136,0.7753,533.1667
STRATFORD ISD,0.1026,47666.13,0.0099,0.3636,252
STRATFORD SCHOOL DISTRICT,0.4618,79826.85,0.2216,0.4916,3260.5
STRATFORD SCHOOL DISTRICT,0.5035,67384.13,0.0053,0.9531,344.8333
STRATHAM SCHOOL DISTRICT,1.721,115971.6,0.0062,0.9563,323
STRATHMORE UNION ELEMENTARY,-1.6676,27499.5,0.0043,0.1205,514.3333
STREATOR ESD 44,-0.4525,39999,0.0468,0.7387,1235.167
STREETSBORO CITY,0.4586,70290.02,0.137,0.7976,970.5
STRONG-HUTTIG SCHOOL DISTRICT,-2.2547,34499.1,0.5571,0.3847,194
STRONGSVILLE CITY,1.0555,100513.7,0.0189,0.8652,2945.333
STROTHER,-1.3324,42999.4,0.0128,0.6925,177.6667
STROUD,-1.1354,42999.4,0.0263,0.7972,362.6667
STROUDSBURG AREA SD,0.7685,74619.28,0.1795,0.6267,2491.833
STRUTHERS CITY,0.323,46190.24,0.0494,0.8485,907
STRYKER LOCAL,-0.114,53999.6,0.0043,0.9093,199.3333
STURBRIDGE,1.9477,84895.44,0.0086,0.9003,490.8333
STURGEON BAY SCHOOL DISTRICT,0.7051,63076.72,0.0263,0.8715,473.3333
STURGEON R-V,-0.4314,54999.5,0.0241,0.9453,201.1667
STURGIS PUBLIC SCHOOLS,-0.486,45892.68,0.0217,0.6431,1458.5
STUTTGART SCHOOL DISTRICT,-0.8658,33408.41,0.4605,0.4892,817.6667
SUBLETTE,0.2571,63599.76,0.0047,0.7229,207.1667
SUBLETTE COUNTY SCHOOL DISTRICT #1,1.0714,107135.1,0.0021,0.8788,466.5
SUBLETTE COUNTY SCHOOL DISTRICT #9,0.1839,72999.13,0.0078,0.8141,319.6667
SUDAN ISD,0.1283,35499.9,0.0354,0.4299,193.8333
SUDBURY,3.2685,179721.6,0.0241,0.863,2099.167
SUFFIELD SCHOOL DISTRICT,1.7395,106249.8,0.0293,0.9084,1152.167
SUFFOLK CITY PBLC SCHS,0.0138,70409.14,0.5612,0.3502,6406.167
SUGAR-SALEM JOINT DISTRICT,0.645,60428.54,0.0058,0.9039,685.5
SUGARCREEK LOCAL SCHOOL DISTRICT,1.8973,92726.57,0.0382,0.8704,1209.333
SULLIVAN,0.1748,51679.83,0.0056,0.9584,924.1667
SULLIVAN COUNTY SCHOOL DISTRCT,-0.2851,60066.07,0.0072,0.9733,5030.167
SULLIVAN COUNTY SD,0.4471,49165.84,0.0152,0.9646,274.1667
SULLIVAN CUSD 300,0.248,59999,0.0016,0.9511,509.8333
SULLIVAN WEST CENTRAL SCHOOL DISTRICT,-0.0296,63308.61,0.0217,0.8971,564.1667
SULPHUR,-0.4099,37403.37,0.009,0.5975,633.1667
SULPHUR BLUFF ISD,-0.0791,52999.7,0.0249,0.8315,91.5
SULPHUR SPRINGS ISD,-0.2451,52499.75,0.1138,0.6272,1831.667
SULPHUR SPRINGS UNION ELEMENTARY,-0.6848,74683.23,0.0783,0.3614,3465
SULTAN SCHOOL DISTRICT,0.1926,64671.82,0.0075,0.8145,984.3333
SUMMERFIELD SCHOOL DISTRICT,-0.3823,55117.13,0.0111,0.9638,350.1667
SUMMERS COUNTY SCHOOLS,-0.8483,43436.81,0.0277,0.9447,656.5
SUMMERSVILLE R-II,-0.1564,42428.09,0.0022,0.9969,174
SUMMERSVILLE SD 79,0.4798,44249.15,0.0046,0.9368,171.3333
SUMMIT CITY,2.5423,166666.3,0.0413,0.7217,1943.833
SUMMIT HILL SD 161,0.8972,102307.6,0.0441,0.805,2392
SUMMIT SCHOOL DISTRICT NO. RE 1,0.7883,79591.66,0.0066,0.6697,1354.333
SUMMIT SD 104,-0.8707,49721.28,0.0646,0.1229,1031.833
SUMNER COMM SCHOOL DISTRICT,0.5355,65599.63,0.0027,0.9654,116.1667
SUMNER COUNTY SCHOOL DISTRICT,0.0175,63778.38,0.0985,0.829,12984.33
SUMNER SCHOOL DISTRICT,0.5882,81159.17,0.0131,0.7777,3713.5
SUMNER-EDDYVILLE-MILLER SCHS,-1.4171,50999.9,0.0037,0.8806,81.8333
SUMTER,0.5197,41847.46,0.1284,0.7007,3527.167
SUMTER 02,-0.92,36838.71,0.5562,0.3739,3811.167
SUMTER 17,-0.9073,39054.74,0.6688,0.2925,3861.833
SUMTER COUNTY,-1.6394,31938.39,0.7633,0.1527,2251.667
SUMTER COUNTY,-2.663,15937.31,0.989,0.0039,898.8333
SUN PRAIRIE AREA SCHOOL DISTRICT,0.9961,70546.17,0.1135,0.7137,2988.833
SUN RIVER VALLEY ELEM,0.6301,55285.18,0.0239,0.923,124.3333
SUNAPEE SCHOOL DISTRICT,1.2031,77142.77,0.0016,0.9605,208.5
SUNBURST K-12 SCHOOLS,1.0363,68999.4,0.0058,0.9597,113
SUNDALE UNION ELEMENTARY,-0.0195,41832.96,0.0078,0.6223,513.1667
SUNDERLAND,1.7186,115624.4,0.0227,0.7885,90.3333
SUNDOWN ISD,1.1679,46249.75,0.0135,0.4665,293
SUNFLOWER CO SCHOOL DIST,-2.1815,24046.81,0.9484,0.0279,911.8333
SUNMAN-DEARBORN COM SCH CORP,0.6902,85529.24,0.0014,0.9728,1917.167
SUNNYBROOK SD 171,-1.0799,60441.14,0.7669,0.049,737.5
SUNNYSIDE SCHOOL DISTRICT,-1.144,36770.48,0.001,0.0825,2892.833
SUNNYSIDE UNIFIED DISTRICT,-1.6056,32299.54,0.0249,0.0523,9180.167
SUNNYSIDE UNION ELEMENTARY,-2.1334,36636.04,0,0.0979,251.6667
SUNNYVALE,-0.3678,80020.29,0.0281,0.2007,4035.333
SUNNYVALE ISD,1.6645,115832.7,0.0671,0.5551,545.6667
SUNRAY ISD,-0.3222,58749.13,0.0036,0.4671,235.5
SUNRISE R-IX,-0.2243,47856.57,0.0105,0.9871,204.5
SUNSET RIDGE SD 29,2.2721,180554.9,0.001,0.8995,352.6667
SUPERIOR CENTRAL SCHOOLS,-0.5739,40999.8,0.0029,0.9223,174.5
SUPERIOR K-12 SCHOOLS,-0.0242,39399.12,0.0067,0.8119,123.3333
SUPERIOR PUBLIC SCHOOLS,0.1205,33499.3,0.0088,0.9501,193.6667
SUPERIOR SCHOOL DISTRICT,0.1228,55178.05,0.0344,0.8891,1980.5
SUPERIOR UNIFIED SCHOOL DISTRICT,-1.8704,71165.92,0.0119,0.128,195.5
SURING SCHOOL DISTRICT,-0.5342,50714.21,0.0045,0.9248,178
SURREY 41,0.0418,65624.63,0.0181,0.9509,149.6667
SURRY CO PBLC SCHS,-0.1778,67499.5,0.63,0.3464,422.5
SURRY COUNTY SCHOOLS,0.7445,43352.99,0.0334,0.7553,3993.167
SUSANVILLE ELEMENTARY,-1.2921,70311.81,0.0274,0.6344,707.1667
SUSQUEHANNA COMMUNITY SD,0.3355,52307.46,0.0098,0.977,376
SUSQUEHANNA TOWNSHIP SD,0.0562,63475.38,0.3933,0.4119,1366.833
SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,0.3283,50833.25,0.0332,0.9384,759.5
SUSQUENITA SD,0.0086,70727.55,0.0116,0.949,821
SUSSEX CO PBLC SCHS,-0.8336,42576.41,0.7433,0.2228,452.6667
SUSSEX-WANTAGE REGIONAL,0.6186,78048.66,0.014,0.9211,865.6667
SUTHERLAND PUBLIC SCHOOLS,0.2558,68590.34,0.004,0.9034,169.3333
SUTHERLIN SD 130,-0.2092,39999,0.011,0.8205,622.8333
SUTTON,1.5146,119033.3,0.0057,0.925,818.6667
SUTTON PUBLIC SCHOOLS,0.5717,74999,0.0222,0.8645,172.8333
SUTTONS BAY PUBLIC SCHOOLS,-0.6427,66970.13,0.0036,0.5863,279.3333
SUWANNEE,-0.3796,41292.84,0.1373,0.6966,2799.833
SWAIN COUNTY SCHOOLS,0.119,62634.96,0.0138,0.7037,917.8333
SWALLOW SCHOOL DISTRICT,2.343,138499.5,0.0067,0.9537,414
SWAMPSCOTT,1.9993,102380.9,0.0357,0.8695,1009.333
SWAN RIVER ELEM,0.5223,57499.25,0.0082,0.9726,102.3333
SWAN VALLEY SCHOOL DISTRICT,0.0336,69510.73,0.0102,0.8986,786.3333
SWANSEA,1.0716,83571.09,0.0126,0.945,976.5
SWANTON LOCAL,0.3227,67968.22,0.0055,0.9143,610.8333
SWANTON SCHOOL DISTRICT,-0.2053,64749.68,0.0083,0.7557,320
SWANVILLE PUBLIC SCHOOL DISTRICT,0.2705,55166.15,0.0011,0.9835,138.1667
SWARTZ CREEK COMMUNITY SCHOOLS,-0.1492,65820.51,0.0584,0.8667,1855.833
SWEDESBORO-WOOLWICH,1.2465,118778.3,0.1284,0.7687,882.8333
SWEENY ISD,0.4146,76666.6,0.1535,0.6173,898
SWEET HOME CENTRAL SCHOOL DISTRICT,0.4973,63214.07,0.1894,0.7199,1530.5
SWEET HOME SD 55,-0.4837,56218.89,0.0068,0.8767,1066
SWEET SPRINGS R-VII,0.4408,52249.77,0.0156,0.9675,195.3333
SWEETWATER CITY SCHOOL DIST,-0.6479,45666.53,0.0544,0.8469,972.1667
SWEETWATER COUNTY SCHOOL DISTRICT #1,-0.0833,77336.35,0.0158,0.746,2480.167
SWEETWATER COUNTY SCHOOL DISTRICT #2,-0.0816,79326.75,0.0056,0.7719,1228.667
SWEETWATER ISD,0.0638,48853.39,0.0742,0.4288,979.1667
SWEETWATER UNION HIGH,-0.5768,55143.16,0.0343,0.0846,11866.17
SWINK SCHOOL DISTRICT NO. 33 IN THE COUNTY OF OTERO AND ST,1.5667,57999.2,0.0154,0.652,173.3333
SWITZERLAND COUNTY SCHOOL CORP,0.1047,52961.24,0.0017,0.9671,670.1667
SWITZERLAND OF OHIO LOCAL,-0.4989,41071.21,0.0039,0.9779,1115.5
SYCAMORE COMMUNITY CITY,2.6369,116627.2,0.0738,0.7047,2440.333
SYCAMORE CUSD 427,0.2564,85739,0.0271,0.8246,1737.833
SYLACAUGA CITY,-0.54,33460.85,0.358,0.6156,1138.833
SYLVAN GROVE,0.7603,43749.25,0.0092,0.9105,91.3333
SYLVAN UNION ELEMENTARY,-0.3839,58438.87,0.047,0.4406,6064.833
SYLVANIA CITY,1.2259,86884.77,0.0642,0.8374,3477.5
SYOSSET CENTRAL SCHOOL DISTRICT,2.3239,167269.4,0.0062,0.7092,3062.167
SYRACUSE,-0.0587,32499.5,0.0088,0.5304,226.3333
SYRACUSE CITY SCHOOL DISTRICT,-2.5098,26839.52,0.5398,0.2554,9594.167
SYRACUSE-DUNBAR-AVOCA SCHOOLS,0.7549,70124.32,0.0025,0.9709,316.3333
T OR C MUNICIPAL SCHOOLS,-1.0938,28815.03,0.0096,0.5012,605.5
TABERNACLE TOWNSHIP,1.0071,109193.2,0.0115,0.9155,562.6667
TACOMA SCHOOL DISTRICT,-0.5836,49953.56,0.2126,0.4534,12837.83
TACONIC HILLS CENTRAL SCHOOL DISTRICT,-0.6644,76287.83,0.0258,0.8877,668.3333
TAFT CITY,-1.7309,42568.93,0.0079,0.5225,1341.333
TAFT ISD,-1.8726,49749.05,0.0061,0.0643,520.5
TAFT SD 90,-0.7114,52999.7,0.0223,0.8007,216
TAHLEQUAH,-0.3828,36018.32,0.0228,0.2719,1356.833
TAHOE-TRUCKEE JOINT UNIFIED,-0.1057,75320.5,0.0047,0.6146,1824.5
TAHOKA ISD,-0.0098,34463.39,0.0332,0.3429,251.3333
TAHOMA SCHOOL DISTRICT,1.6125,111283.3,0.0231,0.8117,3513
TAHQUAMENON AREA SCHOOLS,-0.9209,43408.41,0.0082,0.8574,386.3333
TALAWANDA CITY,0.9689,65675.3,0.0135,0.9167,1390.667
TALBOT COUNTY,-2.4047,38332.67,0.9571,0.041,259.8333
TALBOT COUNTY PUBLIC SCHOOLS,0.1545,74757.09,0.181,0.6836,1888
TALIHINA,-0.9885,33082.71,0.0126,0.375,278.5
TALLADEGA CITY,-1.7178,28275.21,0.5966,0.3812,1082.833
TALLADEGA COUNTY,-0.8248,46538.15,0.3502,0.6233,3653.167
TALLAPOOSA COUNTY,-1.5341,38294.79,0.3203,0.6571,1380.667
TALLASSEE CITY,-1.1541,57296.57,0.2648,0.7016,909.3333
TALLMADGE CITY,0.88,80523.04,0.025,0.8864,1176.667
TAMAQUA AREA SD,0.1463,50694.38,0.01,0.9591,947.3333
TAMWORTH SCHOOL DISTRICT,0.7198,38749.25,0.0097,0.9702,139.5
TANEYVILLE R-II,0.2184,46416.38,0,0.9696,134
TANGIPAHOA PARISH,-1.3998,47309.06,0.4853,0.4696,8914.833
TANNEHILL,-1.118,80999.76,0.0221,0.5127,113.3333
TANQUE VERDE UNIFIED DISTRICT,1.3635,110440.8,0.0194,0.7727,1290.833
TANTASQUA,1.2505,89249.43,0.0067,0.8978,571.3333
TAOS MUNICIPAL SCHOOLS,-1.0125,43124.38,0.0075,0.2759,1441.5
TARKINGTON ISD,-0.4949,57777,0.0092,0.9123,886.3333
TARKIO R-I,0.308,52142.64,0.0098,0.9514,128.3333
TARRANT CITY,-2.3486,24165.83,0.7905,0.096,577.8333
TATE CO SCHOOL DIST,-1.2368,39856.17,0.3615,0.5942,1420.333
TATTNALL COUNTY,-0.9691,42325.12,0.2457,0.5387,1599
TATUM ISD,0.0069,65052.29,0.2578,0.5112,712.8333
TAUNTON,0.8102,60719.95,0.0859,0.7453,3787.167
TAWAS AREA SCHOOLS,-0.2937,44641.93,0.0093,0.9542,592
TAYLOR,-0.2857,45555.45,0.2136,0.718,1337.833
TAYLOR COMMUNITY SCHOOL CORP,0.0178,49090.09,0.0478,0.8195,611.6667
TAYLOR COUNTY,0.372,44106.32,0.0167,0.9449,1195.167
TAYLOR COUNTY,-1.0736,29463.39,0.399,0.5699,696.8333
TAYLOR COUNTY SCHOOLS,-0.5774,43749.25,0.0101,0.9816,1063.167
TAYLOR ISD,-0.5224,49326.06,0.1052,0.2668,1349.167
TAYLOR SCHOOL DISTRICT,-1.3034,44142.03,0.2723,0.6294,4503.333
TAYLORVILLE CUSD 3,0.1311,55599.44,0.0076,0.9465,1176
TAZEWELL CO PBLC SCHS,0.3263,42314.35,0.0281,0.9475,2960.333
TEA AREA SCHOOL DISTRICT 41-5,-0.1329,73912.87,0.0123,0.9294,567.8333
TEAGUE ISD,-0.284,47082.92,0.1524,0.6,575.6667
TEANECK,0.5413,91594.16,0.4377,0.1259,1791
TEAYS VALLEY LOCAL,1.1727,64349.71,0.0063,0.9573,1749.5
TECUMSEH,-0.4945,37624.47,0.0275,0.5827,945.1667
TECUMSEH LOCAL,0.1411,49165.84,0.0088,0.8645,1516.333
TECUMSEH PUBLIC SCHOOLS,0.0143,79910.52,0.0152,0.9062,1374.333
TEHACHAPI UNIFIED,-0.9465,54755.62,0.0162,0.654,2013
TEKAMAH-HERMAN COMMUNITY SCHS,-0.1663,59554.6,0.0231,0.9349,258.8333
TEKONSHA COMMUNITY SCHOOLS,-1.0168,58999.1,0.0053,0.9398,130.8333
TELFAIR COUNTY,-1.0807,34686.56,0.4187,0.5439,791.6667
TELL CITY-TROY TWP SCHOOL CORP,0.8107,57499.25,0.0036,0.9401,693
TELLURIDE SCHOOL DISTRICT NO. R-1,1.5734,91666,0.0025,0.8224,345.1667
TEMECULA VALLEY UNIFIED,0.2993,85631.32,0.0394,0.4822,16361.33
TEMPE SCHOOL DISTRICT,-0.7892,40934.39,0.1204,0.2503,8333.167
TEMPLE,-1.0347,32749.45,0.1026,0.6152,85.8333
TEMPLE CITY UNIFIED,1.3557,72811.65,0.0062,0.1151,2549.667
TEMPLE ISD,-1.0106,45916.48,0.2699,0.296,3812.667
TEMPLETON UNIFIED,0.1699,95088.48,0.0073,0.7375,1010
TENAFLY,3.0383,147221.3,0.0126,0.6426,1633
TENINO SCHOOL DISTRICT,-0.3082,76833.26,0.0113,0.8889,571.5
TENSAS PARISH,-1.9675,18451.69,0.9099,0.0723,358.5
TERRA BELLA UNION ELEMENTARY,-2.1302,21166.43,0.0052,0.0337,579.3333
TERREBONNE PARISH,-0.663,51044.2,0.2928,0.5604,8353.667
TERRELL COUNTY,-1.4659,23749.25,0.9411,0.0404,681.5
TERRELL ISD,-1.0519,41764.35,0.2463,0.3209,1879.5
TERRIL COMM SCHOOL DISTRICT,0.2247,42666.13,0.0156,0.9805,85.6667
TETON COUNTY DISTRICT,-0.7633,52166.45,0.002,0.7401,757.5
TETON COUNTY SCHOOL DISTRICT #1,1.2325,86011.46,0.0028,0.688,1124.333
TEUTOPOLIS CUSD 50,1.135,71999.2,0.0007,0.9952,490.8333
TEWKSBURY,1.202,99672.93,0.0121,0.9455,2077.667
TEWKSBURY TOWNSHIP,2.5253,202325.6,0.0105,0.8812,515.3333
